alias,parent
Harper Collins,HarperCollins
HarperCollins,HarperCollins
William Morrow,HarperCollins
Avon Books,HarperCollins
HarperTeen,HarperCollins
Harper Teen,HarperCollins
Harper,HarperCollins
Harper Perennial Modern Classics, HarperCollins
Harvest,HarperCollins
Greenwillow,HarperCollins
Amistad,HarperCollins
Katherine Tegen Books,HarperCollins
Balzer Bray,HarperCollins
Ecco,HarperCollins
Dey Street,HarperCollins
Anchor Press,Penguin Random House
Anchor Books,Penguin Random House
Arrow,Penguin Random House
Crown,Penguin Random House
Riverhead,Penguin Random House
Penguin,Penguin Random House
Random House,Penguin Random House
Random House Childrens Books,Penguin Random House
Puffin,Penguin Random House
Knopf,Penguin Random House
Viking,Penguin Random House
Delacorte,Penguin Random House
Dial,Penguin Random House
Ballantine Books,Penguin Random House
Laurel Leaf,Penguin Random House
Penguin Classics,Penguin Random House
Penguin Books Ltd,Penguin Random House
Dutton,Penguin Random House
Bantam,Penguin Random House
Pantheon Books,Penguin Random House
Pantheon,Penguin Random House
Putnam,Penguin Random House
Vintage International,Penguin Random House
Vintage,Penguin Random House
Jove Book,Penguin Random House
Jove,Penguin Random House
Pamela Dorman Books,Penguin Random House
NYRB Classics,Penguin Random House
NYRB,Penguin Random House
New york review books,Penguin Random House
Yearling, Penguin Random House
Speak,Penguin Random House
Simon & Schuster,Simon & Schuster
Simon Schuster,Simon & Schuster
Scribner,Simon & Schuster
Atria Books,Simon & Schuster
Gallery Books,Simon & Schuster
Simon & Schuster Books for Young Readers,Simon & Schuster
Touchstone,Simon & Schuster
Scribner,Simon & Schuster
Free Press,Simon & Schuster
Washington Square Press,Simon & Schuster
EMILY BESTLER,Simon & Schuster
ONE SIGNAL,Simon & Schuster
Beyond Words,Simon & Schuster
Black Privilege,Simon & Schuster
Atheneum,Simon & Schuster
Bloomsbury,Macmillan
Macmillan,Macmillan
Farrar Straus and Giroux,Macmillan
Henry Holt and Company,Macmillan
farrar straus giroux,Macmillan
farrar straus and giroux,Macmillan
Henry Holt,Macmillan
Tor Books,Macmillan
Feiwel and Friends,Macmillan
Wednesday,Macmillan
St Martin,Macmillan
Picador,Macmillan
Feiwel Friends,Macmillan
Hachette,Hachette
Little Brown and Company,Hachette
Little Brown Books for Young Readers,Hachette
Little Brown,Hachette
Grand Central Publishing,Hachette
Hyperion,Hachette
Mulholland,Hachette
Jo Fletcher,Hachette
Virago,Hachette
Weidenfeld Nicolson,Hachette
Time Warner,Hachette
Orbit,Hachette
Orion,Hachette